,HBA,HNA,TA,IA,BP,APAP,NDA,HQ,"4,4'-Sulfonyldiphenol",Bond Angle,pKa,Refractive index,Density,Complexity,Heavy Atom Count,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,XLogP3,Molecular Weight,Thickness,Frequency(MHz),Q factor,Dk,Df,Melt Point,HDT (Â°C) @ 1.8MPa 
VX-131_6,0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2,4.3736,1.5968,1.27,202.52,13.04,57.5,1.0,3.0,2,2.588,176.1656,,,,3.453184421,0.000927173,329.8697085,206.8174437
VX-131_7,0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2,4.3736,1.5968,1.27,202.52,13.04,57.5,1.0,3.0,2,2.588,176.1656,,,,3.410081965,0.001144201,331.0586494,204.3697294
VX-131_8,0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2,4.3736,1.5968,1.27,202.52,13.04,57.5,1.0,3.0,2,2.588,176.1656,,,,3.413039422,0.001028167,331.1727841,211.3022851
VX-131_9,0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2,4.3736,1.5968,1.27,202.52,13.04,57.5,1.0,3.0,2,2.588,176.1656,,,,3.386371255,0.000945171,330.4543341,208.3726969
VX-131_10,0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2,4.3736,1.5968,1.27,202.52,13.04,57.5,1.0,3.0,2,2.588,176.1656,,,,3.389309056,0.000904372,331.594719,210.3639377
VX-131_11,0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2,4.3736,1.5968,1.27,202.52,13.04,57.5,1.0,3.0,2,2.588,176.1656,,,,3.39829462,0.001082027,330.8625542,211.7591624
VX-131_12,0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2,4.3736,1.5968,1.27,202.52,13.04,57.5,1.0,3.0,2,2.588,176.1656,,,,3.41513121,0.001081932,330.5381299,204.5072686
VX-131_13,0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2,4.3736,1.5968,1.27,202.52,13.04,57.5,1.0,3.0,2,2.588,176.1656,,,,3.434300528,0.001019165,329.8828058,207.878916
B950RX_0,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.599965625,0.002482955,279.6734917,204.145162
B950RX_1,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.60670305,0.002573985,280.1202592,199.440679
B950RX_2,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.653287514,0.002426902,280.6213076,198.9606828
B950RX_3,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.600810957,0.002573089,279.8016481,199.9789983
B950RX_4,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.603310993,0.002650498,280.1975901,199.8212966
B950RX_5,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.684495762,0.002610805,278.636635,199.5606626
B950RX_6,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.57212592,0.00256197,278.9056863,198.2445175
B950RX_7,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.648987038,0.002502304,281.5899803,200.7770992
B950RX_8,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.635349843,0.002411708,280.2441502,200.5612986
B950RX_9,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.615219715,0.002606265,280.009183,199.3505525
B950RX_10,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.612749157,0.002459858,278.9570227,200.6120074
B950RX_11,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.615981446,0.002627301,280.3502641,201.010883
B950RX_12,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.640063969,0.002669548,279.1235774,198.3232538
B950RX_13,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,162.0,5.304,1.6022,1.28246,197.8,13.0,62.08,1.4,3.0,2,2.16,176.366,,,,3.642763972,0.002651289,279.4573641,200.2111376
VX-135_0,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.484544557,0.00105663,332.3440543,
VX-135_1,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.426450792,0.001061008,331.1889037,
VX-135_2,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.496418043,0.00115924,331.5754806,
VX-135_3,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.441484885,0.001056122,332.284189,
VX-135_4,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.442904736,0.001127234,331.245161,
VX-135_5,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.45127376,0.000888558,332.3410212,
VX-135_6,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.434868824,0.001032043,331.809456,
VX-135_7,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.461384227,0.001235976,331.9568318,
VX-135_8,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.441802585,0.001065391,332.2192708,
VX-135_9,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.43385246,0.001066923,331.6342303,
VX-135_10,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.462393061,0.001032266,332.4861268,
VX-135_11,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.438906207,0.001176848,332.7332643,
VX-135_12,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.443525452,0.00113636,332.2811858,
VX-135_13,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,4.3708,1.6004,1.265,204.56,13.12,57.5,1.0,3.0,2,2.614,177.1668,,,,3.425030622,0.001197028,331.121016,
